unnamed_0_1,unnamed_0,volume,last,chg,chg
0,sunshine_biopharma_inc_sbfm_,2_2m,3.2,1.12,53.85
1,ttec_holdings_inc_ttec_,216_6k,4.26,0.98,30.12
2,angiodynamics_inc_ango_,108_2k,11.42,1.76,18.27
3,alaunos_therapeutics_inc_tcrt_,55_9k,2.45,0.29,13.42
4,cognyte_software_ltd_cgnt_,95_6k,9.31,1.09,13.26
5,quantasing_group_ltd_adr_qsg_,301_6k,7.34,0.76,11.55
6,cytokinetics_inc_cytk_,85_5k,41.78,4.29,11.43
7,petco_health_wellness_co_inc_woof_,391_6k,3.2,0.24,8.28
8,rocket_cos_inc_rkt_,197_6k,13.15,0.55,4.37
9,coreweave_inc_cl_a_crwv_,1_2m,54.51,1.94,3.69
10,compass_therapeutics_inc_cmpx_,161_8k,2.32,0.08,3.57
11,redfin_corp_rdfn_,184_1k,9.91,0.34,3.55
12,vnet_group_inc_adr_vnet_,142_9k,8.12,0.24,3.05
13,terns_pharmaceuticals_inc_tern_,119_6k,2.63,0.07,2.73
14,red_cat_holdings_inc_rcat_,140_5k,6.54,0.15,2.43
15,bilibili_inc_adr_bili_,81_1k,19.34,0.35,1.84
16,lyft_inc_cl_a_lyft_,440_1k,12.36,0.13,1.06
17,full_truck_alliance_co_ltd_adr_ymm_,128_0k,12.91,0.12,0.94
18,sunrun_inc_run_,205_6k,6.54,0.05,0.77
19,wendy_s_co_wen_,64_0k,14.82,0.1,0.68
20,certara_inc_cert_,51_2k,9.94,0.07,0.66
21,johnson_johnson_jnj_,72_9k,154.24,0.99,0.65
22,coca_cola_co_ko_,53_3k,72.28,0.41,0.57
23,kraft_heinz_co_khc_,128_6k,30.48,0.14,0.46
24,pepsico_inc_pep_,71_0k,150.29,0.63,0.42
25,exelon_corp_exc_,60_4k,46.08,0.17,0.36
26,despegar_com_corp_desp_,63_0k,18.87,0.06,0.32
27,baidu_inc_adr_bidu_,55_8k,91.92,0.29,0.32
28,newmont_corp_nem_,68_4k,48.4,0.11,0.23
29,ezcorp_inc_cl_a_ezpw_,73_6k,15.55,0.03,0.19
30,golden_ocean_group_ltd_gogl_,61_7k,8.32,0.01,0.18
31,chimerix_inc_cmrx_,87_3k,8.52,0.01,0.18
32,b2gold_corp_btg_,78_9k,2.9,0.01,0.17
33,monster_beverage_corp_mnst_,75_8k,59.14,0.1,0.17
34,uber_technologies_inc_uber_,98_9k,73.11,0.12,0.16
35,bp_plc_adr_bp_,132_6k,33.85,0.04,0.12
36,at_t_inc_t_,93_5k,28.51,0.03,0.11
37,verizon_communications_inc_vz_,97_5k,45.42,0.04,0.1
38,keurig_dr_pepper_inc_kdp_,92_9k,35.0,0.03,0.09
39,gilead_sciences_inc_gild_,137_7k,111.27,-0.01,-0.01
40,walmart_inc_wmt_,71_1k,88.82,-0.01,-0.01
41,ionq_inc_ionq_,82_2k,23.18,-0.01,-0.02
42,beacon_roofing_supply_inc_becn_,50_3k,123.72,-0.06,-0.04
43,mondelez_international_inc_cl_a_mdlz_,130_3k,67.57,-0.08,-0.12
44,checkpoint_therapeutics_inc_ckpt_,144_0k,4.04,-0.01,-0.12
45,carnival_corp_ccl_,103_0k,19.35,-0.04,-0.21
46,altria_group_inc_mo_,148_2k,58.66,-0.13,-0.21
47,okta_inc_cl_a_okta_,53_9k,104.46,-0.23,-0.22
