symbol,change,volume,market_cap
DNLI,1.87,2.448M,2.056B
NFE,0.9,5.949M,2.32B
SWTX,4.78,1.951M,3.497B
RKT,1.31,28.053M,27.643B
CYTK,3.87,3.258M,4.899B
RNA,2.61,2.404M,3.529B
RGTI,0.72,38.013M,2.438B
ACLX,5.65,584136,3.646B
AMTM,1.61,4.108M,4.74B
IONQ,1.77,21.04M,5.962B
SLNO,5.07,1.156M,3.363B
GRFS,0.51,1.571M,5.897B
IMVT,1.07,2.697M,2.764B
BAH,7.34,7.179M,14.228B
MRX,2.54,982842,2.687B
UWMC,0.38,27.039M,10.57B
FIVE,5.1,1.764M,4.491B
KBR,3.17,2.018M,6.889B
AKRO,2.39,969461,3.267B
CLF,0.53,17.737M,4.267B
MRUS,2.39,490983,2.901B
LKNCY,2.29,1.064M,10.759B
SMMT,1.21,1.268M,14.761B
SRRK,1.96,1.006M,3.032B
PSN,3.63,1.835M,6.747B
LEGN,1.88,1.063M,6.134B
COHR,3.66,2.973M,10.439B
CACI,21.17,1.245M,8.768B
LOAR,4.0,224591,7.048B
VKTX,1.32,3.222M,2.832B
CIEN,3.59,2.365M,9.258B
TGTX,2.13,3.174M,6.264B
LDOS,7.51,2.471M,18.267B
GAP,1.15,6.19M,8.385B
TMDX,3.74,742634,2.424B
W,1.75,4.314M,4.275B
NBIS,1.18,13.32M,5.627B
COOP,6.43,2.166M,8.363B
APGE,1.92,317628,2.18B
CZR,1.3,3.899M,5.539B
CVNA,10.56,3.229M,26.097B
SOUN,0.44,22.652M,3.447B
AS,1.34,1.379M,15.609B
SYM,1.05,914250,12.915B
LNW,4.18,721597,7.775B
ANF,3.76,1.712M,4.157B
TSLA,12.58,167.942M,903.971B
PENN,0.76,1.756M,2.585B
AUR,0.33,10.4M,12.287B
CRK,0.97,2.553M,6.245B
PRKS,2.14,450849,2.623B
SMG,2.53,1.088M,3.293B
KTOS,1.46,1.124M,4.701B
RKLB,0.82,11.001M,8.604B
MARA,0.52,33.301M,4.273B
NATL,1.23,484093,2.065B
LYFT,0.58,14.172M,5.353B
RH,10.48,1.185M,4.642B
RIOT,0.34,23.318M,2.758B
MLTX,1.64,515002,2.404B
EQH,2.35,1.494M,16.821B
SHAK,4.14,862934,4.047B
SAIA,16.4,272553,9.886B
SMTC,1.54,971508,3.149B
MOD,3.73,841783,4.416B
ODD,1.93,337909,2.621B
SN,3.61,1.077M,12.324B
RYTM,2.08,506673,3.293B
KMX,3.38,2.489M,12.652B
IONS,1.13,768801,4.513B
SATS,1.06,725626,7.523B
RRX,4.78,423506,7.927B
LITE,2.49,2.836M,4.573B
URBN,2.15,1.072M,5.096B
TEX,1.57,819669,2.632B
MIR,0.59,574347,3.472B
ONON,1.78,2.724M,14.406B
IESC,6.65,121474,3.511B
BBIO,1.3,1.101M,6.527B
BURL,8.58,655936,15.882B
MBLY,0.55,1.272M,12.204B
TTEK,1.14,2.462M,8.226B
BBWI,1.19,1.988M,6.816B
WSC,1.05,1.392M,5.236B
VAC,2.34,176705,2.256B
ETSY,1.81,2.806M,5.39B
CLS,2.92,2.83M,9.506B
TFII,2.92,249632,6.771B
DECK,4.18,1.723M,17.838B
ILMN,2.98,1.209M,12.889B
GDS,0.92,1.095M,5.086B
OGN,0.52,1.863M,3.778B
RBRK,2.22,1.161M,11.897B
ASAN,0.54,1.611M,3.694B
GEV,11.88,2.926M,89.527B
CRDO,1.73,3.274M,7.378B
AVAV,4.34,231125,3.559B
UI,11.33,33376,19.496B
ELF,2.28,2.23M,3.752B
RARE,1.19,301958,3.289B
ELAN,0.37,1.64M,5.322B
ALK,1.72,1.293M,6.231B
GLBE,1.27,911354,6.313B
BPMC,2.96,330502,5.681B
DRVN,0.56,271169,2.834B
KC,0.49,1.28M,3.408B
ROAD,2.59,267698,4.242B
RCRUY,0.35,25099,79.695B
AFRM,1.6,3.772M,15.08B
VERX,1.19,481564,5.896B
TOST,1.16,3.947M,20.366B
HBI,0.2,4.346M,2.092B
UAL,2.3,5.469M,23.077B
BZLFY,0.62,53881,12.938B
MEDP,10.4,418730,9.388B
NRG,3.25,1.855M,20.729B
FUN,1.19,561510,3.744B
DASH,6.26,3.732M,79.264B
RXO,0.61,575615,3.191B
ACVA,0.53,929471,2.672B
VRNA,1.9,1.132M,8.045B
ATS,0.82,45836,2.563B
UAA,0.2,8.761M,2.764B
PFSI,3.22,214236,5.31B
PTCT,1.64,573665,3.805B
NVMI,5.93,171373,5.587B
BNTX,2.89,836552,22.36B
CG,1.49,1.459M,16.527B
NUVL,2.25,273439,5.03B
WPP,1.16,500650,8.372B
EVR,6.15,495669,8.082B
TAL,0.41,2.064M,8.221B
BF-B,1.08,1.682M,16.263B
WSM,4.99,1.414M,20.238B
DLTR,2.44,3.516M,16.728B
BWIN,1.36,287612,3.087B
SNOW,4.69,3.604M,51.527B
AAON,2.39,305255,6.654B
RNW,0.18,476553,2.183B
ALNY,7.96,575326,34.132B
OMF,1.51,482360,6.037B
PAGS,0.25,2.876M,2.408B
MCK,20.22,816795,86.965B
LTH,0.91,983243,6.774B
