,No.,Symbol,Company Name,% Change,Afterhr. Price,Afterhr. Close,Market Cap
0,1,ICCT,iCoreConnect Inc.,41.41%,0.42,0.3,1.25M
1,2,OAKU,Oak Woods Acquisition Corporation,29.19%,14.93,11.56,69.80M
2,3,SPRB,"Spruce Biosciences, Inc.",28.77%,0.38,0.3,12.06M
3,4,ADD,"Color Star Technology Co., Ltd.",24.40%,1.0,0.8,2.16M
4,5,VIVK,"Vivakor, Inc.",23.01%,0.95,0.77,26.59M
5,6,RFAI,RF Acquisition Corp II,22.53%,12.71,10.37,155.75M
6,7,CTOR,"Citius Oncology, Inc.",18.80%,0.79,0.67,64.07M
7,8,AXDX,"Accelerate Diagnostics, Inc.",18.40%,0.83,0.7,17.90M
8,9,TGL,Treasure Global Inc.,18.25%,0.09,0.08,4.52M
9,10,PCLA,PicoCELA Inc.,18.04%,0.68,0.58,13.83M
