,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",393.18%,19.53,81228438,1.92M
1,2,IBO,Impact BioMedical Inc.,99.16%,0.924,4976404,11.17M
2,3,AEHL,Antelope Enterprise Holdings Limited,97.61%,4.15,10872245,3.46M
3,4,CXAI,CXApp Inc.,77.24%,1.43,90225440,23.54M
4,5,LOCL,Local Bounti Corporation,58.20%,4.461,458146,38.61M
5,6,XHG,XChange TEC.INC,52.03%,1.125,2719684,23.09M
6,7,WCT,Wellchange Holdings Company Limited,44.62%,0.282,197599646,13.05M
7,8,FORD,"Forward Industries, Inc.",39.63%,6.87,493844,7.56M
8,9,SOBR,"SOBR Safe, Inc.",38.29%,4.8,1237838,442.48K
9,10,MHLD,"Maiden Holdings, Ltd.",38.07%,0.78,577707,77.22M
10,11,ICCT,iCoreConnect Inc.,37.78%,5.83,82164034,8.13M
11,12,NTHI,"NeOnc Technologies Holdings, Inc.",36.86%,9.58,110078,179.59M
12,13,RGC,Regencell Bioscience Holdings Limited,35.47%,32.92,239087,428.38M
13,14,ALDX,"Aldeyra Therapeutics, Inc.",33.10%,1.89,12710002,112.85M
14,15,NWTG,Newton Golf Company,28.38%,1.9,2552275,564.65K
15,16,FTFT,Future FinTech Group Inc.,28.11%,1.65,278521,3.42M
16,17,VRCA,Verrica Pharmaceuticals Inc.,24.55%,0.523,737100,48.01M
17,18,PAMT,Pamt Corp.,22.23%,13.58,189049,295.92M
18,19,NWTN,NWTN Inc.,20.49%,0.394,21551077,112.76M
19,20,AUUD,Auddia Inc.,20.20%,4.82,191329,2.44M
