,Unnamed: 0,Volume,Last,Chg,% Chg
0,Soleno Therapeutics Inc. (SLNO),11.4M,67.53,18.56,37.9
1,Concentrix Corp. (CNXC),3.7M,62.51,16.83,36.85
2,Baiya International Group Inc. (BIYA),939.4K,6.67,1.78,36.4
3,MicroAlgo Inc. (MLGO),69.0M,16.14,4.29,36.13
4,Petco Health & Wellness Co. Inc. (WOOF),23.1M,3.12,0.68,27.87
5,Jiayin Group Inc. ADR (JFIN),743.9K,14.89,2.79,23.06
6,Hertz Global Holdings Inc. (HTZ),21.1M,4.22,0.77,22.17
7,VivoPower International PLC (VVPR),37.4M,5.01,0.83,19.86
8,Avis Budget Group Inc. (CAR),4.1M,73.61,12.06,19.59
9,Tenon Medical Inc. (TNON),40.0M,2.84,0.42,17.56
10,CervoMed Inc. (CRVO),4.3M,9.04,1.32,17.19
11,ImmunityBio Inc. (IBRX),12.0M,3.25,0.47,16.91
12,Epsium Enterprise Ltd. (EPSM),430.1K,5.6,0.78,16.18
13,Quantum Biopharma Ltd. (QNTM),889.6K,8.07,1.12,16.11
14,ASP Isotopes Inc. (ASPI),1.8M,4.8,0.61,14.58
15,Kuke Music Holding Ltd. ADR (KUKE),57.4K,2.77,0.33,13.52
16,BuzzFeed Inc. (BZFD),698.8K,2.44,0.28,13.26
17,The9 Ltd. ADR (NCTY),163.9K,14.86,1.71,13.03
18,Milestone Pharmaceuticals Inc. (MIST),5.2M,2.26,0.26,12.69
19,Satellogic Inc. (SATL),716.1K,4.22,0.47,12.67
20,Luminar Technologies Inc. (LAZR),10.9M,6.35,0.69,12.19
21,Yiren Digital Ltd. ADR (YRD),444.7K,7.46,0.79,11.77
22,Park Ha Biological Technology Co. Ltd. (PHH),438.5K,11.81,1.21,11.41
23,Niu Technologies ADR (NIU),3.3M,4.82,0.48,11.08
24,Bioceres Crop Solutions Corp. (BIOX),512.5K,4.86,0.48,10.96
25,Tat Technologies Ltd. (TATT),211.6K,28.71,2.81,10.85
26,Brazil Potash Corp. (GRO),94.4K,3.38,0.33,10.82
27,Dollar Tree Inc. (DLTR),10.6M,76.56,7.35,10.62
28,Venus Concept Inc. (VERO),66.4K,3.63,0.35,10.53
29,89bio Inc. (ETNB),1.2M,8.86,0.84,10.47
30,Yoshiharu Global Co. (YOSH),77.6K,16.4,1.55,10.44
31,SmartKem Inc. (SMTK),386.2K,3.37,0.31,10.27
32,Forward Industries Inc. (FORD),78.3K,4.35,0.4,10.13
33,Ermenegildo Zegna N.V. (ZGN),1.1M,7.8,0.71,10.1
34,Prairie Operating Co. (PROP),1.5M,5.9,0.54,10.07
35,Cato Corp. Cl A (CATO),183.0K,3.78,0.34,9.88
36,MillerKnoll Inc. (MLKN),1.1M,20.14,1.8,9.81
37,Nuvectis Pharma Inc. (NVCT),122.1K,9.6,0.85,9.71
38,RxSight Inc. (RXST),570.8K,26.68,2.31,9.48
39,Dianthus Therapeutics Inc. (DNTH),105.9K,19.98,1.71,9.36
40,Lanvin Group Holdings Ltd. (LANV),104.8K,2.35,0.2,9.3
41,EDAP TMS S.A. ADR (EDAP),508.2K,2.24,0.19,9.27
42,NeoVolta Inc. (NEOV),153.9K,2.54,0.21,9.01
43,Advance Auto Parts Inc. (AAP),2.8M,41.22,3.4,9.0
44,Heidmar Maritime Holdings Corp. (HMR),1.4M,3.42,0.26,8.23
45,Perma-Fix Environmental Services Inc. (PESI),164.8K,8.12,0.61,8.2
46,Rivian Automotive Inc. Cl A (RIVN),46.4M,13.08,0.97,8.06
47,Winnebago Industries Inc. (WGO),1.3M,37.49,2.73,7.85
48,Aterian Inc. (ATER),79.2K,2.45,0.18,7.84
49,Universe Pharmaceuticals Inc. (UPC),91.1K,5.23,0.38,7.84
50,iQIYI Inc. ADR (IQ),49.2M,2.41,0.17,7.68
