,Unnamed: 0,Volume,Last,Chg,% Chg
0,Sunshine Biopharma Inc. (SBFM),2.2M,3.2,1.12,53.85
1,TTEC Holdings Inc. (TTEC),216.6K,4.26,0.98,30.12
2,AngioDynamics Inc. (ANGO),108.2K,11.42,1.76,18.27
3,Alaunos Therapeutics Inc. (TCRT),55.9K,2.45,0.29,13.42
4,Cognyte Software Ltd. (CGNT),95.6K,9.31,1.09,13.26
5,QuantaSing Group Ltd. ADR (QSG),301.6K,7.34,0.76,11.55
6,Cytokinetics Inc. (CYTK),85.5K,41.78,4.29,11.43
7,Petco Health & Wellness Co. Inc. (WOOF),391.6K,3.2,0.24,8.28
8,Rocket Cos. Inc. (RKT),197.6K,13.15,0.55,4.37
9,CoreWeave Inc. Cl A (CRWV),1.2M,54.51,1.94,3.69
10,Compass Therapeutics Inc. (CMPX),161.8K,2.32,0.08,3.57
11,Redfin Corp. (RDFN),184.1K,9.91,0.34,3.55
12,VNET Group Inc. ADR (VNET),142.9K,8.12,0.24,3.05
13,Terns Pharmaceuticals Inc. (TERN),119.6K,2.63,0.07,2.73
14,Red Cat Holdings Inc. (RCAT),140.5K,6.54,0.15,2.43
15,Bilibili Inc. ADR (BILI),81.1K,19.34,0.35,1.84
16,Lyft Inc. Cl A (LYFT),440.1K,12.36,0.13,1.06
17,Full Truck Alliance Co. Ltd. ADR (YMM),128.0K,12.91,0.12,0.94
18,SunRun Inc. (RUN),205.6K,6.54,0.05,0.77
19,Wendy's Co. (WEN),64.0K,14.82,0.1,0.68
20,Certara Inc. (CERT),51.2K,9.94,0.07,0.66
21,Johnson & Johnson (JNJ),72.9K,154.24,0.99,0.65
22,Coca-Cola Co. (KO),53.3K,72.28,0.41,0.57
23,Kraft Heinz Co. (KHC),128.6K,30.48,0.14,0.46
24,PepsiCo Inc. (PEP),71.0K,150.29,0.63,0.42
25,Exelon Corp. (EXC),60.4K,46.08,0.17,0.36
26,Despegar.com Corp. (DESP),63.0K,18.87,0.06,0.32
27,Baidu Inc. ADR (BIDU),55.8K,91.92,0.29,0.32
28,Newmont Corp. (NEM),68.4K,48.4,0.11,0.23
29,Ezcorp Inc. Cl A (EZPW),73.6K,15.55,0.03,0.19
30,Golden Ocean Group Ltd. (GOGL),61.7K,8.32,0.01,0.18
31,Chimerix Inc. (CMRX),87.3K,8.52,0.01,0.18
32,B2Gold Corp. (BTG),78.9K,2.9,0.01,0.17
33,Monster Beverage Corp. (MNST),75.8K,59.14,0.1,0.17
34,Uber Technologies Inc. (UBER),98.9K,73.11,0.12,0.16
35,BP PLC ADR (BP),132.6K,33.85,0.04,0.12
36,AT&T Inc. (T),93.5K,28.51,0.03,0.11
37,Verizon Communications Inc. (VZ),97.5K,45.42,0.04,0.1
38,Keurig Dr Pepper Inc. (KDP),92.9K,35.0,0.03,0.09
39,Gilead Sciences Inc. (GILD),137.7K,111.27,-0.01,-0.01
40,Walmart Inc. (WMT),71.1K,88.82,-0.01,-0.01
41,IonQ Inc. (IONQ),82.2K,23.18,-0.01,-0.02
42,Beacon Roofing Supply Inc. (BECN),50.3K,123.72,-0.06,-0.04
43,Mondelez International Inc. Cl A (MDLZ),130.3K,67.57,-0.08,-0.12
44,Checkpoint Therapeutics Inc. (CKPT),144.0K,4.04,-0.01,-0.12
45,Carnival Corp. (CCL),103.0K,19.35,-0.04,-0.21
